Settlement_Council,Population,Rank,City_Cluster_2019
גבעת ברנר,"2,678.31",797,8
קדרון,"1,607.05",892,9
בניה,797.913,930,9
גיבתון,369.18,937,9
גן הדרום,636.028,770,8
כפר אביב,821.786,923,9
שדמה,593.469,952,9
משגב דב,721.619,954,9
כפר מרדכי,644.333,963,9
מישר,795.105,979,10
עשרת,"1,011.85",989,10
קשת,796.618,89,3
חספין,"2,054.13",100,3
אלוני הבשן,457.221,113,4
נטור,712.586,143,5
יונתן,745.386,156,5
נוב,964.776,166,5
מיצר,298.97,181,5
רמת מגשימים,704.874,212,5
קלע,319.015,259,6
אבני איתן,725.254,275,6
בני יהודה,"1,085.01",303,6
אורטל,343.312,370,7
כפר חרוב,433.784,385,7
אלי-עד,433,399,7
אל -רום,397.816,401,7
חד-נס,809.821,441,7
אניעם,532.654,453,7
מרום גולן,743.064,480,7
נאות גולן,632.403,521,7
עין זיוון,370.475,557,7
אפיק,344.623,562,7
מבוא חמה,459.451,570,7
גשור,280.319,587,7
גבעת יואב,707.417,589,7
רמות,551.817,692,8
קדמת צבי,499.301,724,8
כנף,461.477,726,8
שעל,276.126,741,8
אודם,155.254,749,8
מעלה גמלא,557.125,762,8
מעלה עמוס,663.119,52,2
אספר,932.42,59,2
בת עין,"1,567.54",62,3
מגדל עוז,573.468,94,3
כפר עציון,"1,154.79",133,4
כרמי צור,"1,000.79",218,5
נוקדים,"2,382.64",219,5
תקוע,"4,075.97",241,5
אלון שבות,"3,053.83",350,6
ראש צורים,933.099,367,7
קדר,"1,598.99",455,7
אלעזר,"2,458.96",464,7
נווה דניאל,"2,321.62",502,7
הר גילה,"1,634.66",590,7
שעלבים,"1,928.18",140,5
עזריה,"1,226.96",394,7
יציץ,821.998,411,7
פתחיה,841.262,473,7
מצליח,"1,362.70",491,7
"יד רמב""ם","1,124.13",494,7
נען,"1,717.31",522,7
גזר,287.257,527,7
פדיה,840.876,548,7
בית עוזיאל,624.521,609,7
ישרש,"1,000.67",615,7
נוף איילון,"2,128.21",637,7
גני יוחנן,621.484,660,7
נצר סרני,882.346,785,8
בית חשמונאי,"2,196.82",865,9
משמר איילון,555.859,872,9
כפר בן נון,749.312,891,9
סתרייה,"1,101.97",925,9
חולדה,"1,162.75",936,9
גני הדר,338.583,943,9
כפר שמואל,955.563,948,9
רמות מאיר,748.684,951,9
"כפר ביל""ו","1,258.24",958,9
משמר דוד,948.875,978,10
כרמי יוסף,"1,742.67",994,10
עיינות,394.054,21,2
פלמחים,688.693,780,8
גאליה,973.444,871,9
גן שורק,694.012,889,9
בית חנן,541.865,905,9
כפר הנגיד,"1,260.08",920,9
אירוס,706.136,966,9
בית עובד,262.552,974,10
נטעים,636.792,977,10
בית ברל,198.004,417,7
רמת הכובש,"1,129.59",424,7
ירחיב,"1,081.69",454,7
אלישמע,"1,200.23",459,7
נווה ימין,"1,154.93",526,7
ניר אליהו,554.932,664,7
נחשונים,405.121,680,8
חורשים,334.577,690,8
צור נתן,313.256,695,8
אייל,534.107,700,8
גבעת השלושה,869.502,783,8
חגור,"1,161.88",789,8
עינת,829.491,798,8
צור יצחק,"6,360.75",834,9
מעש,863.643,840,9
עדנים,514.941,854,9
שדי חמד,"1,018.74",862,9
מתן,"3,617.46",867,9
גת רימון,325.7,879,9
נווה ירק,"1,347.75",887,9
"כפר מל""ל",324.713,909,9
רמות השבים,"1,729.94",914,9
"גבעת ח""ן",374.42,917,9
כפר סירקין,"1,501.67",919,9
גן חיים,815.62,961,9
ירקונה,360.274,964,9
גני עם,242.244,969,9
מגשימים,"1,088.53",973,9
שדה ורבורג,"1,478.26",976,10
צופית,"1,287.49",984,10
נירית,926.162,993,10
טמרה (יזרעאל),"1,601.16",35,2
בית אלפא,"1,067.66",41,2
טייבה (בעמק),"1,864.83",55,2
מוקייבלה,"4,081.36",57,2
נאעורה,"2,323.52",70,3
גבע,618.217,99,3
עין חרוד (איחוד),546.457,106,4
יזרעאל,553.182,108,4
צנדלה,"1,643.52",142,5
אדירים,271.916,167,5
גדיש,397.064,168,5
מלאה,382.523,249,6
גדעונה,470.767,288,6
מגן שאול,675.764,311,6
תל יוסף,559.658,312,6
עין חרוד (מאוחד),759.802,318,6
חבר,616.462,326,6
אומן,387.052,348,6
אביטל,494.182,366,7
פרזון,322.255,372,7
ניר יפה,724.469,382,7
מיטב,471.21,438,7
חפצי-בה,714.898,479,7
בית השיטה,"1,262.82",531,7
ברק,410.989,560,7
גן נר,"2,670.16",602,7
נורית,193.243,617,7
מולדת,"1,068.49",647,7
רמת צבי,710.365,666,7
דבורה,216.603,718,8
רם-און,977.966,756,8
כפר יחזקאל,"1,115.49",807,8
ברעם,584.012,39,2
סאסא,416.022,111,4
כפר גלעדי,664.325,233,5
יראון,403.801,245,5
צבעון,273.727,342,6
מנרה,247.824,365,7
משגב עם,338.695,371,7
מלכייה,462.222,378,7
גדות,433.661,388,7
שמיר,922.453,389,7
גונן,363.626,407,7
כפר הנשיא,865.388,412,7
עמיר,584.228,419,7
חולתה,693.555,448,7
עמיעד,438.719,475,7
להבות הבשן,891.666,484,7
איילת השחר,"1,119.23",496,7
כפר בלום,765.628,503,7
נאות מרדכי,620.26,511,7
דפנה,936.069,517,7
מחניים,804.036,519,7
שדה נחמיה,"1,234.70",532,7
מעיין ברוך,767.282,541,7
כפר סאלד,673.835,544,7
קדרים,270.095,554,7
הגושרים,805.204,610,7
דן,744.832,622,7
יפתח,569.23,670,7
שניר,586.489,786,8
הודיות,321.459,10,1
לביא,627.31,49,2
כדורי,243.852,95,3
הזורעים,"1,059.54",174,5
כפר זיתים,767.662,201,5
בית רימון,875.647,280,6
ארבל,735.302,445,7
בית קשת,712.105,461,7
שדה אילן,590.466,468,7
אילנייה,490.318,535,7
מצפה נטופה,"1,028.97",576,7
שרונה,571.448,699,8
כפר חיטים,618.677,702,8
שדמות דבורה,683.164,704,8
כפר קיש,603.926,711,8
גבעת אבני,"2,048.81",728,8
מצפה,140.735,779,8
מסד,346.905,934,9
ספיר,446.719,302,6
צוקים,344.484,456,7
עין יהב,742.493,569,7
חצבה,619.696,592,7
עידן,391.824,714,8
צופר,450.788,764,8
פארן,500.806,793,8
פני חבר,634.645,34,2
מעון,594.607,131,4
תלם,444.653,135,4
עתניאל,"1,043.73",155,5
נגוהות,351.69,170,5
סוסיה,"1,339.46",172,5
חגי,666.924,178,5
כרמל,436.623,188,5
אדורה,462.16,217,5
מצדות יהודה,550.362,224,5
שמעה,740.629,276,6
טנא,871.722,427,7
סנסנה,519.472,634,7
אשכולות,577.221,644,7
ראס עלי,643.156,15,1
אבטין,"2,835.17",33,2
ח'ואלד,709.97,38,2
כפר הנוער הדתי,221.552,51,2
רמת יוחנן,"1,012.38",87,3
אורנים,178.201,91,3
יגור,"1,584.37",136,4
שער העמקים,684.77,316,6
כפר חסידים ב',301.609,446,7
אושה,532.358,552,7
כפר המכבי,386.406,613,7
כפר חסידים א',564.026,621,7
כפר ביאליק,685.483,837,9
נופית,"2,689.29",990,10
נאות סמדר,226.987,19,1
סמר,278.529,63,3
יטבתה,717.142,64,3
קטורה,470.621,120,4
אליפז,150.223,121,4
אילות,313.585,196,5
לוטן,177.348,281,6
גרופית,248.838,363,6
שחרות,164.175,376,7
יהל,217.875,604,7
באר אורה,"1,032.80",669,7
קבוצת יבנה,957.778,25,2
כרם יבנה (ישיבה),531.647,81,3
בית רבן,"1,017.22",107,4
בן זכאי,"1,131.77",222,5
ניר גלים,"1,396.26",404,7
בני דרום,903.251,572,7
בית גמליאל,"1,018.77",671,8
מבוא מודיעים,254.59,80,3
בן שמן (כפר נוער),619.855,97,3
ברקת,"2,081.73",134,4
בארות יצחק,413.718,145,5
אחיסמך,"1,377.20",261,6
נחלים,"1,787.56",301,6
נופך,588.094,406,7
בית עריף,"1,173.73",413,7
חדיד,875.312,463,7
"גבעת כ""ח",903.384,545,7
טירת יהודה,"1,201.38",551,7
גמזו,"1,206.20",614,7
רינתיה,"1,204.64",753,8
בית נחמיה,878.581,758,8
גינתון,918.444,794,8
כפר טרומן,893.306,875,9
כפר רות,263.748,902,9
לפיד,"2,393.64",928,9
שילת,771.058,938,9
בן שמן (מושב),869.828,942,9
מזור,"1,330.53",955,9
כפר דניאל,708.164,975,10
בני עטרות,964.344,983,10
כפר סילבר,287.078,60,2
ברכיה,"1,274.19",179,5
חלץ,454.887,197,5
ניצן,"2,460.65",215,5
ניצן ב',498.137,223,5
בית שקמה,863.222,238,5
משען,"1,063.58",323,6
הודייה,547.907,330,6
באר גנים,"1,525.43",442,7
ניצנים,421.05,583,7
בת הדר,760.362,635,7
גברעם,466.467,642,7
מבקיעים,484.313,646,7
יד מרדכי,736.943,707,8
זיקים,852.388,716,8
כרמייה,597.378,717,8
תלמי יפה,817.931,765,8
ניר ישראל,877.051,784,8
כוכב מיכאל,"1,051.93",823,8
נתיב העשרה,891.228,860,9
גיאה,968.905,876,9
בית צבי,345.404,26,2
מעגן מיכאל,"2,039.44",47,2
עין חוד,305.425,67,3
מאיר שפיה,296.143,90,3
כפר גלים,388.918,112,4
ניר עציון,980.7,124,4
שדות ים,"1,057.00",163,5
צרופה,"1,096.89",510,7
נווה ים,232.104,596,7
עין הוד,643.113,601,7
בית אורן,506.977,607,7
עופר,651.336,641,7
עתלית,"8,874.65",654,7
בת שלמה,656.185,709,8
מעיין צבי,748.682,712,8
נחשולים,686.831,715,8
החותרים,858.45,815,8
דור,442.988,827,9
עין כרמל,922.178,832,9
מגדים,"1,329.16",835,9
גבע כרמל,"1,200.33",836,9
"כרם מהר""ל",776.767,856,9
עין איילה,"1,150.06",894,9
בית חנניה,906.889,898,9
הבונים,368.557,932,9
קיסריה,"5,342.64",972,9
תל יצחק,"1,017.21",183,5
שפיים,"1,302.21",420,7
געש,819.342,460,7
יקום,764.296,627,7
חרוצים,845.678,648,7
גליל ים,517.017,705,8
בית יהושע,"1,045.79",896,9
אודים,"1,378.52",904,9
רשפון,"1,457.79",911,9
בני ציון,"1,370.19",971,9
כפר נטר,"1,193.02",986,10
בצרה,"1,212.83",987,10
ארסוף,165.495,995,10
אל -עזי,195.511,20,1
נחלה,716.756,469,7
גלאון,582.16,556,7
גת (קיבוץ),849.677,571,7
ורדון,276.919,581,7
בית גוברין,434.959,623,7
בית ניר,608.581,657,7
רבדים,812.669,697,8
נגבה,968.628,723,8
סגולה,717.071,740,8
כפר מנחם,"1,365.52",824,8
שדה יואב,582.629,885,9
"כפר הרי""ף",835.663,933,9
פורת,"1,275.42",189,5
כפר יעבץ,659.027,298,6
עזריאל,903.811,395,7
תנובות,830.441,431,7
גאולים,967.797,515,7
שער אפרים,"1,906.65",565,7
ינוב,912.609,659,7
ניצני עוז,"1,114.66",703,8
עין שריד,"1,629.64",736,8
נורדייה,"1,870.55",877,9
יעף,300.005,899,9
צור משה,"3,096.92",907,9
גנות הדר,970.715,915,9
בני דרור,"1,170.52",929,9
עין ורד,"1,483.93",950,9
משמרת,"1,058.80",956,9
כפר הס,"1,593.00",957,9
חירות,"1,297.80",980,10
עוצם,652.029,103,3
תלמים,929.176,169,5
אמציה,263.433,246,5
זוהר,350.347,278,6
בני דקלים,"1,211.46",287,6
אחוזם,546.841,294,6
שדה דוד,594.342,299,6
נוגה,582.602,300,6
מנוחה,618.307,307,6
כרמי קטיף,508.021,344,6
נטע,612.848,362,6
נהורה,"1,181.32",499,7
שחר,878.782,506,7
שדה משה,759.866,706,8
"ניר ח""ן",547.557,733,8
אליאב,546.341,775,8
יד נתן,665.543,813,8
שקף,500.552,864,9
לכיש,769.388,982,10
אליפלט,650.609,283,6
דישון,332.593,380,7
יובל,638.225,416,7
מרגליות,411.54,440,7
משמר הירדן,810.282,528,7
בית הלל,775.251,561,7
שאר ישוב,667.613,580,7
אמנון,391.733,588,7
שדה אליעזר,808.568,597,7
רמות נפתלי,546.162,611,7
כורזים,349.498,679,8
כרכום,527.505,769,8
כחל,441.865,830,9
משמר העמק,"1,271.14",56,2
גלעד (אבן יצחק),492.186,74,3
עין השופט,861.412,171,5
אליקים,909.912,206,5
גבעת עוז,463.939,213,5
הזורע,914.134,266,6
דלייה,815.231,286,6
מדרך עוז,793.888,447,7
רמת השופט,"1,100.52",612,7
עין העמק,802.964,658,7
רמות מנשה,"1,158.99",771,8
מגידו,847.273,811,8
יקנעם (מושבה),"1,401.42",895,9
אבנת,209.446,272,6
בית הערבה,350.314,402,7
אלמוג,254.214,410,7
ורד יריחו,340.835,425,7
מצפה שלם,206.605,656,7
קליה,437.707,755,8
עראמשה*,"1,681.68",73,3
שייח' דנון,"2,886.77",77,3
עברון,840.074,119,4
עין המפרץ,"1,249.37",231,5
כליל,748.028,256,6
אחיהוד,891.868,267,6
עמקה,771.635,314,6
כפר מסריק,833.721,368,7
אשרת,587.476,398,7
בית העמק,577.785,457,7
בצת,294.904,525,7
אפק,712.813,558,7
כברי,"1,054.09",575,7
חניתה,755.681,577,7
לוחמי הגיטאות,704.814,593,7
בוסתן הגליל,"1,302.19",616,7
לימן,692.242,620,7
נתיב השיירה,476.652,632,7
יחיעם,721.226,640,7
שמרת,554.248,653,7
גשר הזיו,"1,530.43",655,7
אדמית,216.486,661,7
אילון,"1,030.53",684,8
כפר ראש הנקרה,"1,362.56",710,8
מצובה,"1,165.05",720,8
יסעור,844.975,727,8
רגבה,"1,096.07",732,8
נס עמים,419.586,737,8
געתון,691.672,743,8
סער,858.18,744,8
בן עמי,765.728,788,8
שבי ציון,"1,205.21",848,9
כוכב יעקב,"8,540.47",28,2
מתתיהו,890.315,40,2
נחליאל,711.966,69,3
מעלה לבונה,905.627,83,3
גני מודיעין,"2,603.45",110,4
מצפה יריחו,"2,559.92",122,4
שילה,"4,356.16",130,4
עטרת,899.874,137,4
גבע בנימין,"5,682.20",150,5
עלי,"4,414.71",152,5
כוכב השחר,"2,227.32",157,5
עמיחי,208.713,158,5
מבוא חורון,"2,669.28",173,5
טלמון,"4,574.96",195,5
נווה צוף,"1,484.72",229,5
מעלה מכמש,"1,528.95",250,6
פסגות,"1,880.51",251,6
עפרה,"3,043.29",265,6
רימונים,700.143,290,6
דולב,"1,447.52",349,6
בית חורון,"1,437.34",436,7
נעלה,"2,148.11",512,7
חשמונאים,"2,770.94",550,7
כפר אדומים,"4,674.38",584,7
עלמון,"1,419.93",606,7
"ניל""י","1,785.90",683,8
גבעון החדשה,"1,066.60",761,8
כפר האורנים,"2,657.08",927,9
כפר זוהרים,159.937,24,2
קרית יערים (מוסד),179.423,42,2
עין נקובא,"3,505.08",45,2
"עין כרם-בי""ס חקלאי",172.113,68,3
עין ראפה,"1,179.07",93,3
רמת רחל,521.743,115,4
תירוש,492.394,116,4
צובה,625.447,153,5
בית מאיר,846.715,176,5
ישעי,770.738,200,5
זנוח,524.274,202,5
עגור,527.536,230,5
שדות מיכה,378.136,235,5
יד השמונה,299.241,258,6
נחם,569.955,268,6
נווה מיכאל,749.305,274,6
מחסיה,476.89,289,6
אדרת,883.267,324,6
גפן,410.404,333,6
לוזית,815.745,337,6
אשתאול,"1,238.08",346,6
בר גיורא,674.288,369,7
כסלון,427.639,381,7
זכריה,"1,123.94",390,7
צלפון,"1,044.46",391,7
תרום,944.662,432,7
בקוע,785.557,476,7
נחושה,"1,483.89",489,7
צרעה,929.52,498,7
אבן ספיר,702.721,500,7
תעוז,628.658,514,7
אורה,"1,278.55",530,7
"נתיב הל""ה",654.269,555,7
צפרירים,402.197,563,7
מטע,895.904,600,7
נס הרים,"1,414.01",608,7
אביעזר,875.237,625,7
גבעת יערים,"1,454.66",651,7
עמינדב,"1,085.71",693,8
נחשון,589.121,742,8
קרית ענבים,466.614,747,8
מבוא ביתר,964.651,748,8
הראל,263.895,759,8
מסילת ציון,"1,215.43",772,8
גבעת ישעיהו,824.025,773,8
בית נקופה,743.627,776,8
צור הדסה,"11,120.09",796,8
שריגים (לי-און),"1,057.71",812,8
כפר אוריה,946.9,828,9
טל שחר,"1,368.60",841,9
נטף,448.593,846,9
שואבה,655.403,849,9
רמת רזיאל,660.375,851,9
גיזו,207.09,863,9
מעלה החמישה,793.387,890,9
בית זית,"1,708.00",900,9
נווה שלום,323.193,903,9
שורש,"1,201.13",922,9
מוצא עילית,"1,211.74",924,9
נווה אילן,997.266,953,9
אלוני יצחק,307.624,54,2
כפר פינס,"1,033.70",96,3
גן שמואל,933.15,102,3
אל -עריאן,190.701,109,4
מייסר,"2,017.11",123,4
אום אל-קוטוף,"1,116.65",185,5
עין שמר,557.172,221,5
מצפה אילן,625.879,377,7
מצר,383.496,421,7
רגבים,479.658,518,7
ברקאי,553.366,591,7
מענית,811.976,619,7
קציר,"2,883.61",626,7
מאור,"1,398.21",652,7
שדה יצחק,596.483,665,7
כפר גליקסון,338.147,675,8
מגל,"1,139.14",685,8
עין עירון,545.723,738,8
תלמי אלעזר,944.669,829,9
מי עמי,365.863,838,9
גן השומרון,860.898,858,9
משמרות,"1,024.32",884,9
להבות חביבה,"1,013.67",921,9
פקיעין חדשה,476.102,260,6
שתולה,293.346,309,6
יערה,752.449,332,6
עבדון,667.752,374,7
חוסן,"1,134.71",397,7
מתת,190.819,400,7
אבירים,263.015,423,7
נטועה,305.757,435,7
גורנות הגליל,177.189,458,7
עין יעקב,"1,136.81",466,7
כפר רוזנואלד (זרעית),242.689,470,7
אבן מנחם,298.762,478,7
אלקוש,274.815,487,7
גורן,426.308,488,7
לפידות,128.316,504,7
שומרה,352.677,534,7
צוריאל,359.858,546,7
מנות,459.148,594,7
מעונה,963.043,599,7
גיתה,291.022,672,8
נווה זיו,950.013,729,8
הילה,587.926,810,8
כדיתה,180.704,23,2
מירון,985.462,32,2
אור הגנוז,573.957,44,2
עין אל-אסד,886.293,129,4
בר יוחאי,"1,072.24",138,5
עלמה,711.524,154,5
כפר שמאי,559.217,160,5
בירייה,839.305,162,5
טפחות,478.001,180,5
דלתון,861.987,203,5
שפר,427.301,205,5
כפר חושן,774.721,252,6
אמירים,866.238,292,6
חזון,306.018,325,6
אביבים,471.349,339,6
ריחאנייה,"1,194.95",358,6
"דוב""ב",482.848,409,7
שזור,323.086,449,7
כלנית,238.381,452,7
לבנים,426.606,467,7
כפר חנניה,749.69,508,7
כרם בן זמרה,526.134,520,7
פרוד,595.195,751,8
עמוקה,131.647,806,8
תפרח,"2,178.35",16,1
שבי דרום,170.527,126,4
אשל הנשיא,355.961,141,5
"תלמי ביל""ו",528.617,279,6
פדויים,520.176,331,6
פטיש,947.341,351,6
"פעמי תש""ז",561.852,375,7
בטחה,776.963,379,7
שדה צבי,665.392,414,7
רנן,703.213,426,7
אשבול,652.439,483,7
ניר עקיבא,685.521,501,7
מסלול,858.564,539,7
גילת,"1,451.27",547,7
מבועים,"1,235.04",566,7
קלחים,643.209,629,7
ניר משה,592.007,801,8
ערב אל נעים,815.407,9,1
דמיידה,514.663,14,1
חוסנייה,772.994,43,2
סלמה,"3,339.81",50,2
ראס אל-עין,393.325,61,3
כמאנה,"1,533.73",86,3
אשבל,125.796,356,6
הררית,542.385,450,7
לוטם,782.307,493,7
מורשת,"1,488.97",516,7
יודפת,907.617,529,7
אשחר,965.212,618,7
כמון,"1,402.11",649,7
תובל,318.699,662,7
חרשים,333.293,667,7
אבטליון,468.297,677,8
פלך,141.752,682,8
חלוץ,536.355,688,8
מורן,451.737,691,8
צביה,330.658,719,8
שורשים,517.204,731,8
מכמנים,556.609,752,8
רקפת,"1,056.93",833,9
לבון,716.786,842,9
שכניה,814.357,852,9
מנוף,862.305,880,9
"מצפה אבי""ב","1,069.93",882,9
צורית,901.363,893,9
טל-אל,"1,186.34",918,9
יובלים,"1,092.56",931,9
גילון,"1,092.15",940,9
עצמון שגב,"1,121.03",944,9
קורנית,926.892,949,9
יעד,689.973,965,9
ביר הדאג',"5,874.19",2,1
אבו תלול,"2,022.95",4,1
קצר א-סר,"2,459.58",8,1
אבו קורינאת (יישוב),"1,904.20",17,1
יסודות,923.682,29,2
בית חלקיה,"1,246.97",31,2
יד בנימין,"4,235.45",220,5
חפץ חיים,557.871,293,6
נצר חזני,497.978,334,6
בני ראם,"1,416.66",396,7
גני טל,867.412,434,7
שער הגולן,525.647,149,5
כנרת (קבוצה),689.25,177,5
עין גב,665.129,228,5
האון,180.555,232,5
חוקוק,612.009,253,6
פורייה - נווה עובד,"1,234.37",295,6
אפיקים,"1,499.69",308,6
דגניה א',528.265,313,6
גינוסר,580.116,329,6
בית זרע,567.593,354,6
מסדה,360.058,355,6
דגניה ב',674.478,430,7
פורייה - כפר עבודה,354.804,462,7
אשדות יעקב (מאוחד),544.837,465,7
פורייה עילית,"1,161.62",490,7
תל קציר,417.307,495,7
אשדות יעקב (איחוד),"1,002.57",536,7
אלומות,404.892,553,7
מעגן,380.102,564,7
אלמגור,418.028,730,8
כנרת (מושבה),686.179,805,8
שדה אליהו,687.341,66,3
טירת צבי,886.302,117,4
רוויה,443.549,148,5
מירב,723.03,175,5
"עין הנצי""ב",603.896,192,5
רחוב,401.181,208,5
מעלה גלבוע,840.491,237,5
נווה איתן,310.763,239,5
בית יוסף,480.813,243,5
ירדנה,371.176,319,6
מנחמיה,"1,032.99",320,6
מסילות,432.907,321,6
כפר רופין,525.677,327,6
שדי תרומות,462.939,359,6
שלוחות,450.801,383,7
תל תאומים,574.84,433,7
ניר דוד (תל עמל),729.131,444,7
גשר,417.404,471,7
נווה אור,349.108,486,7
שדה נחום,800.518,538,7
רשפים,"1,089.20",586,7
חמדיה,381.064,595,7
מעוז חיים,469.097,638,7
מבואות ים,435.698,13,1
נעורים,418.803,101,3
מדרשת רופין,306.719,147,5
מעברות,977.8,254,6
שושנת העמקים,505.422,263,6
"כפר הרא""ה","1,459.82",291,6
גאולי תימן,359.48,341,6
חרב לאת,972.18,343,6
גבעת חיים (מאוחד),"1,009.63",439,7
משמר השרון,617.032,497,7
אלישיב,713.505,507,7
אחיטוב,"1,093.35",540,7
עין החורש,835.618,542,7
גבעת חיים (איחוד),"1,176.30",668,7
חבצלת השרון,468.016,694,8
בורגתה,"1,135.65",746,8
העוגן,918.451,757,8
בת חפר,"5,300.73",774,8
יד חנה,967.6,778,8
המעפיל,862.87,787,8
ביתן אהרן,152.114,819,8
אומץ,848.78,831,9
עולש,"1,131.31",844,9
חגלה,864.58,847,9
כפר מונש,943.134,853,9
מכמורת,"1,403.32",861,9
גן יאשיה,997.498,869,9
כפר ידידיה,730.329,873,9
חניאל,923.405,874,9
חיבת ציון,726.527,878,9
בחן,994.636,881,9
כפר חיים,648.487,886,9
בית הלוי,828.149,897,9
צוקי ים,267.513,906,9
בארותיים,"1,143.14",912,9
אביחיל,"1,421.68",916,9
בית יצחק-שער חפר,"2,131.22",939,9
חופית,774.149,946,9
כפר ויתקין,"1,972.86",947,9
בית חירות,915.812,959,9
הדר עם,675.395,960,9
בת חן,412.362,968,9
בית ינאי,372.424,985,10
גבעת שפירא,387.579,988,10
סואעד (חמרייה)*,182.369,30,2
מנשית זבדה,"1,388.84",72,3
כפר גדעון,346.213,118,4
מזרע,755.801,373,7
מרחביה (קיבוץ),"1,233.74",405,7
שדה יעקב,"1,102.63",415,7
גזית,736.357,418,7
הרדוף,922.059,429,7
דברת,468.217,477,7
אלונים,515.146,482,7
עין דור,"1,016.64",537,7
כפר ברוך,601.715,543,7
יפעת,"1,183.92",574,7
רמת דוד,504.026,579,7
גיניגר,677.261,639,7
שריד,835.894,663,7
אחוזת ברק,"2,279.22",689,8
תל עדשים,"1,503.75",708,8
נהלל,930.266,721,8
כפר יהושע,"1,223.66",739,8
חנתון,982.455,745,8
הושעיה,"2,051.39",766,8
גבת,918.745,795,8
בית שערים,765.876,800,8
כפר החורש,695.397,808,8
בלפוריה,528.417,814,8
ציפורי,848.746,817,8
היוגב,710.904,818,8
מרחביה (מושב),661.627,820,8
הסוללים,932.484,855,9
בית לחם הגלילית,843.247,859,9
שמשית,"2,514.45",941,9
אלון הגליל,"1,118.33",945,9
אלוני אבא,992.251,962,9
עדי,"1,909.68",970,9
תמרת,"1,292.43",991,10
גבעת אלה,"1,964.44",992,10
"כפר חב""ד","6,524.37",132,4
אחיעזר,"1,794.11",151,5
יגל,918.277,257,6
זיתן,"1,064.09",322,6
"חמ""ד","1,316.21",408,7
צפרייה,971.102,578,7
משמר השבעה,"1,047.10",868,9
ניר צבי,"1,285.66",910,9
גנות,587.319,935,9
משכיות,310.036,48,2
"ייט""ב",358.024,104,4
רותם,227.644,105,4
חמרה,173.089,144,5
גלגל,203.335,184,5
חמדת,295.098,204,5
שדמות מחולה,666.127,240,5
גיתית,504.171,284,6
מחולה,579.968,285,6
יפית,202.341,297,6
רועי,175.234,513,7
ארגמן,132.326,643,7
מכורה,166.127,676,8
בקעות,181.752,698,8
"נעמ""ה",165.015,760,8
משואה,183.694,781,8
נתיב הגדוד,212.01,791,8
פצאל,303.567,870,9
תומר,275.62,913,9
ניצנה (קהילת חינוך),313.102,125,4
רביבים,"1,075.09",164,5
מרחב עם,501.368,165,5
שדה בוקר,477.995,193,5
משאבי שדה,481.064,227,5
באר מילכה,187.863,336,6
