שם יישוב,סמל יישוב,תעתיק,סמל מחוז,שם מחוז,סמל נפה,שם נפה,אזור טבעי,סמל מעמד מונציפאלי,שם מעמד מונציפאלי,שיוך מטרופוליני,דת יישוב,סך הכל אוכלוסייה 2021,יהודים ואחרים,מזה: יהודים,ערבים,שנת ייסוד,צורת יישוב שוטפת,השתייכות ארגונית,קואורדינטות,גובה ממוצע,ועדת תכנון,תחנת משטרה,שנה,שם יישוב באנגלית,אשכול רשויות מקומיות
כפר הנשיא,443,KEFAR HANASI,2,הצפון,21,צפת,213,1,מועצה אזורית הגליל העליון,,1,979,979,944,0,1948,330,15,2567576448,265,253,10004540,2021,Kefar HaNasi,211
כפר הס,187,KEFAR HESS,4,המרכז,41,השרון,411,18,מועצה אזורית לב השרון,141,1,1582,1582,1569,0,1933,310,1,1939568366,73,412,15000060,2021,Kefar Hess,410
"כפר הרא""ה",217,KEFAR HARO'E,4,המרכז,41,השרון,411,16,מועצה אזורית עמק חפר,141,1,1483,1483,1482,0,1934,310,2,1919269967,23,409,15000060,2021,Kefar HaRo'e,
"כפר הרי""ף",888,KEFAR HARIF,6,הדרום,61,אשקלון,611,35,מועצה אזורית יואב,,1,844,844,819,0,1956,310,10,1804562817,70,632,10001821,2021,Kefar Harif,420
כפר ויתקין,190,KEFAR VITKIN,4,המרכז,41,השרון,411,16,מועצה אזורית עמק חפר,141,1,1982,1980,1962,2,1933,310,,1887269868,14,409,15000060,2021,Kefar Vitkin,
כפר ורבורג,320,KEFAR WARBURG,6,הדרום,61,אשקלון,611,33,מועצה אזורית באר טוביה,143,1,1161,1161,1147,0,1939,310,1,1741762527,54,616,10001821,2021,Kefar Warburg,420
כפר ורדים,1263,KEFAR WERADIM,2,הצפון,24,עכו,243,99,מועצה מקומית,,1,5531,5314,5040,217,1984,180,,2255076676,533,255,10004484,2021,Kefar Weradim,212
כפר זוהרים,1325,KEFAR ZOHARIM,1,ירושלים,11,ירושלים,112,26,מועצה אזורית מטה יהודה,,1,149,149,149,0,1995,340,,1929261436,311,151,15000597,2021,Kefar Zoharim,
כפר זיתים,786,KEFAR ZETIM,2,הצפון,22,כנרת,222,3,מועצה אזורית הגליל התחתון,,1,793,792,791,1,1950,310,1,2437174638,52,206,10004552,2021,Kefar Zetim,214
"כפר חב""ד",696,KEFAR HABAD,4,המרכז,43,רמלה,432,40,מועצה אזורית שדות דן,133,1,6797,6797,6794,0,1949,180,,1859765528,40,425,10002207,2021,Kefar Habad,
כפר חושן,609,KEFAR HOSHEN,2,הצפון,21,צפת,212,2,מועצה אזורית מרום הגליל,,1,805,805,798,0,1949,310,1,2413676858,738,209,10004528,2021,Kefar Hoshen,211
כפר חיטים,255,KEFAR HITTIM,2,הצפון,22,כנרת,222,3,מועצה אזורית הגליל התחתון,,1,618,618,616,0,1936,320,1,2473974519,32,206,10004552,2021,Kefar Hittim,214
כפר חיים,193,KEFAR HAYYIM,4,המרכז,41,השרון,411,16,מועצה אזורית עמק חפר,141,1,639,638,634,1,1933,310,1,1908269563,24,409,15000060,2021,Kefar Hayyim,
כפר חנניה,1297,KEFAR HANANYA,2,הצפון,21,צפת,212,2,מועצה אזורית מרום הגליל,,1,762,756,740,6,1990,370,2,2399275781,326,209,10004465,2021,Kefar Hananya,211
כפר חסידים א',112,KEFAR HASIDIM ALEF,3,חיפה,31,חיפה,311,12,מועצה אזורית זבולון,222,1,814,805,795,9,1924,310,19,2089873955,14,301,10004207,2021,Kefar Hasidim Alef,310
כפר חסידים ב',889,KEFAR HASIDIM BET,3,חיפה,31,חיפה,311,12,מועצה אזורית זבולון,222,1,305,305,289,0,1950,350,,2084973948,17,301,10004207,2021,Kefar Hasidim Bet,310
כפר חרוב,4004,KEFAR HARUV,2,הצפון,29,גולן,294,71,מועצה אזורית גולן,,1,478,478,473,0,1974,330,15,2624574099,310,219,10004579,2021,Kefar Haruv,211
כפר טרומן,673,KEFAR TRUMAN,4,המרכז,43,רמלה,432,25,מועצה אזורית חבל מודיעין,142,1,908,908,887,0,1949,310,1,1929765418,56,424,10002168,2021,Kefar Truman,
כפר יאסיף,507,KAFAR YASIF,2,הצפון,24,עכו,245,99,מועצה מקומית,,2,10324,22,7,10302,,270,,2155876210,58,252,15002143,2021,Kafar Yasif,
כפר ידידיה,233,KEFAR YEDIDYA,4,המרכז,41,השרון,411,16,מועצה אזורית עמק חפר,141,1,751,751,747,0,1935,310,1,1906569469,24,409,15000060,2021,Kefar Yedidya,
כפר יהושע,140,KEFAR YEHOSHUA,2,הצפון,23,יזרעאל,235,9,מועצה אזורית עמק יזרעאל,,1,1244,1244,1205,0,1927,310,1,2145673200,47,254,10004411,2021,Kefar Yehoshua,213
כפר יונה,168,KEFAR YONA,4,המרכז,41,השרון,411,0,עירייה,141,1,27897,27886,26969,11,1932,160,,1938369132,42,430,15000060,2021,Kefar Yona,
כפר יחזקאל,85,KEFAR YEHEZQEL,2,הצפון,23,יזרעאל,232,8,מועצה אזורית הגלבוע,,1,1255,1254,1217,1,1921,310,1,2340371922,6,204,10004394,2021,Kefar Yehezqel,213
כפר יעבץ,170,KEFAR YA'BEZ,4,המרכז,41,השרון,411,18,מועצה אזורית לב השרון,141,1,676,676,675,0,1932,310,2,1969468679,51,412,15000060,2021,Kefar Ya'bez,410
כפר כמא,508,KAFAR KAMA,2,הצפון,22,כנרת,222,99,מועצה מקומית,,2,3479,14,9,3465,,290,,2415773638,209,251,10004552,2021,Kafar Kama,214
כפר כנא,509,KAFAR KANNA,2,הצפון,25,יזרעאל,237,99,מועצה מקומית,,2,23706,19,11,23687,,260,,2323473905,229,257,15002369,2021,Kafar Kanna,213
כפר מונש,387,KEFAR MONASH,4,המרכז,41,השרון,411,16,מועצה אזורית עמק חפר,141,1,926,926,906,0,1946,310,1,1923169488,17,409,15000060,2021,Kefar Monash,
כפר מימון,1095,KEFAR MAYMON,6,הדרום,62,באר שבע,621,39,מועצה אזורית שדות נגב,,1,427,427,427,0,1959,310,2,1558959355,99,651,10001930,2021,Kefar Maymon,620
"כפר מל""ל",98,KEFAR MALAL,4,המרכז,42,פתח תקווה,421,20,מועצה אזורית דרום השרון,131,1,324,324,319,0,1922,310,1,1901767499,63,417,10002133,2021,Kefar Malal,410
כפר מנדא,510,KAFAR MANDA,2,הצפון,24,עכו,241,99,מועצה מקומית,,2,21073,7,5,21066,,260,,2247174613,178,261,10004513,2021,Kafar Manda,
כפר מנחם,274,KEFAR MENAHEM,6,הדרום,61,אשקלון,611,35,מועצה אזורית יואב,,1,1366,1366,1339,0,1937,330,15,1842462639,110,632,10001821,2021,Kefar Menahem,420
כפר מסריק,297,KEFAR MASARYK,2,הצפון,24,עכו,246,4,מועצה אזורית מטה אשר,241,1,866,866,845,0,1938,330,15,2097075506,4,201,10004315,2021,Kefar Masaryk,212
כפר מצר,512,KAFAR MISR,2,הצפון,25,יזרעאל,233,66,מועצה אזורית בוסתן אל-מרג',,2,2805,2,0,2803,,290,,2398772793,113,251,10004394,2021,Kafar Misr,213
כפר מרדכי,764,KEFAR MORDEKHAY,4,המרכז,44,רחובות,441,32,מועצה אזורית גדרות,143,1,657,657,653,0,1950,310,10,1769063771,41,456,15002488,2021,Kefar Mordekhay,
כפר נטר,316,KEFAR NETTER,4,המרכז,41,השרון,411,19,מועצה אזורית חוף השרון,141,1,1159,1159,1143,0,1939,310,10,1881168690,24,401,15000060,2021,Kefar Netter,
כפר סאלד,345,KEFAR SZOLD,2,הצפון,21,צפת,211,1,מועצה אזורית הגליל העליון,,1,716,715,685,1,1942,330,15,2617578900,120,253,10004591,2021,Kefar Szold,211
כפר סבא,6900,KEFAR SAVA,4,המרכז,42,פתח תקווה,421,0,עירייה,131,1,101801,101597,97721,204,1903,140,,1919367644,52,405,10002133,2021,Kefar Sava,410
כפר סילבר,107,KEFAR SILVER,6,הדרום,61,אשקלון,614,36,מועצה אזורית חוף אשקלון,,1,405,387,309,18,1957,340,,1632562022,55,633,10001821,2021,Kefar Silver,620
כפר סירקין,249,KEFAR SIRKIN,4,המרכז,42,פתח תקווה,422,20,מועצה אזורית דרום השרון,142,1,1543,1543,1528,0,1936,310,,1929966488,41,417,10002116,2021,Kefar Sirkin,410
כפר עבודה,875,KEFAR AVODA,4,המרכז,41,השרון,411,18,מועצה אזורית לב השרון,141,1,212,211,211,1,1942,340,,1946168478,70,412,15000060,2021,Kefar Avoda,410
כפר עזה,845,KEFAR AZZA,6,הדרום,61,אשקלון,614,37,מועצה אזורית שער הנגב,,1,765,764,746,1,1951,330,15,1555559925,89,651,10001829,2021,Kefar Azza,620
כפר עציון,3488,KEFAR EZYON,7,אזור יהודה ושומרון,76,בית לחם,,76,מועצה אזורית גוש עציון,445,1,1279,1238,1238,41,1967,330,3,2110361745,934,714,15000586,2021,Kefar Ezyon,
כפר פינס,189,KEFAR PINES,3,חיפה,32,חדרה,324,14,מועצה אזורית מנשה,,1,1106,1106,1105,0,1933,310,2,2004671000,60,351,10004333,2021,Kefar Pines,
כפר קאסם,634,KAFAR QASEM,4,המרכז,42,פתח תקווה,422,0,עירייה,142,2,24756,44,16,24712,,260,,1976966909,84,451,15000658,2021,Kafar Qasem,410
כפר קיש,388,KEFAR KISCH,2,הצפון,22,כנרת,222,3,מועצה אזורית הגליל התחתון,,1,685,678,674,7,1946,310,1,2424073031,85,206,10004394,2021,Kefar Kisch,214
כפר קרע,654,KAFAR QARA,3,חיפה,32,חדרה,323,99,מועצה מקומית,,2,19691,27,4,19664,,270,,2050971240,109,354,10004233,2021,Kafar Qara,
כפר ראש הנקרה,579,KEFAR ROSH HANIQRA,2,הצפון,24,עכו,245,4,מועצה אזורית מטה אשר,,1,1406,1405,1378,1,1949,330,15,2110577679,32,201,10004302,2021,Kefar Rosh HaNiqra,212
כפר רוזנואלד (זרעית),1130,KEFAR ROZENWALD(ZARIT),2,הצפון,24,עכו,244,52,מועצה אזורית מעלה יוסף,,1,237,237,237,0,1967,310,1,2272977831,620,255,10004302,2021,Kefar Rozenwald(Zarit),212
כפר רופין,295,KEFAR RUPPIN,2,הצפון,23,יזרעאל,231,7,מועצה אזורית עמק המעיינות,,1,526,525,515,1,1938,330,15,2525770713,-246,202,10004568,2021,Kefar Ruppin,214
כפר רות,1166,KEFAR RUT,4,המרכז,43,רמלה,431,25,מועצה אזורית חבל מודיעין,142,1,285,285,278,0,1977,310,1,2030264634,286,424,10002277,2021,Kefar Rut,
כפר שמאי,605,KEFAR SHAMMAY,2,הצפון,21,צפת,212,2,מועצה אזורית מרום הגליל,,1,575,575,575,0,1949,310,2,2430876244,637,209,10004528,2021,Kefar Shammay,211
כפר שמואל,743,KEFAR SHEMU'EL,4,המרכז,43,רמלה,432,30,מועצה אזורית גזר,143,1,969,968,949,1,1950,310,6,1937164417,107,426,10002228,2021,Kefar Shemu'el,
כפר שמריהו,267,KEFAR SHEMARYAHU,5,תל אביב,51,תל אביב,511,99,מועצה מקומית,121,1,1948,1931,1865,17,1937,350,,1833067703,31,504,10001605,2021,Kefar Shemaryahu,
כפר תבור,47,KEFAR TAVOR,2,הצפון,22,כנרת,222,99,מועצה מקומית,,1,4426,4400,4303,26,1901,190,,2397273250,102,251,10004394,2021,Kefar Tavor,214
כפר תפוח,3572,KEFAR TAPPUAH,7,אזור יהודה ושומרון,73,טול כרם,,72,מועצה אזורית שומרון,,1,1522,1522,1521,0,1978,370,2,2237366944,653,710,15004488,2021,Kefar Tappuah,710
כרכום,1285,KARKOM,2,הצפון,21,צפת,213,55,מועצה אזורית מבואות החרמון,,1,517,515,502,2,1988,370,13,2571975949,96,253,10004540,2021,Karkom,211
כרם בן זמרה,664,KEREM BEN ZIMRA,2,הצפון,21,צפת,212,2,מועצה אזורית מרום הגליל,,1,529,529,528,0,1949,310,2,2440077147,822,209,10004528,2021,Kerem Ben Zimra,211
כרם בן שמן,88,KEREM BEN SHEMEN,4,המרכז,43,רמלה,432,25,מועצה אזורית חבל מודיעין,142,1,87,87,87,0,1958,350,,1938065173,80,424,10002261,2021,Kerem Ben Shemen,
כרם יבנה (ישיבה),1094,KEREM YAVNE(YESHIVA),4,המרכז,44,רחובות,441,29,מועצה אזורית חבל יבנה,143,1,538,538,538,0,1963,340,,1738163628,50,456,10001821,2021,Kerem Yavne(Yeshiva),420
"כרם מהר""ל",580,KEREM MAHARAL,3,חיפה,32,חדרה,322,15,מועצה אזורית חוף הכרמל,243,1,767,758,746,9,1949,310,1,1993872798,93,303,10004333,2021,Kerem Maharal,
כרם שלום,1085,KEREM SHALOM,6,הדרום,62,באר שבע,622,38,מועצה אזורית אשכול,,1,194,184,176,10,1956,330,15,1317857105,87,651,10001893,2021,Kerem Shalom,620
כרמי יוסף,1264,KARME YOSEF,4,המרכז,43,רמלה,432,30,מועצה אזורית גזר,143,1,1757,1757,1736,0,1984,350,,1925663946,222,426,10002228,2021,Karme Yosef,
כרמי צור,3766,KARME ZUR,7,אזור יהודה ושומרון,77,חברון,,76,מועצה אזורית גוש עציון,,1,964,964,962,0,1984,370,2,2096161296,935,714,15000586,2021,Karme Zur,
כרמי קטיף,1374,KARME KATIF,6,הדרום,61,אשקלון,612,50,מועצה אזורית לכיש,,1,649,649,649,0,2016,370,,1916760508,338,634,10001813,2021,Karme Katif,
כרמיאל,1139,KARMI'EL,2,הצפון,24,עכו,242,0,עירייה,,1,46311,44540,36515,1771,1964,160,,2276275734,270,208,10004465,2021,Karmi'el,210
כרמייה,768,KARMIYYA,6,הדרום,61,אשקלון,614,36,מועצה אזורית חוף אשקלון,,1,651,651,627,0,1950,330,15,1565861272,29,633,10001829,2021,Karmiyya,620
כרמים,1198,KERAMIM,6,הדרום,62,באר שבע,623,41,מועצה אזורית בני שמעון,341,1,526,526,526,0,1980,330,15,1922058248,404,625,10001937,2021,Keramim,620
כרמל,3656,KARMEL,7,אזור יהודה ושומרון,77,חברון,,78,מועצה אזורית הר חברון,,1,467,467,467,0,1981,320,11,2173959328,711,715,15003512,2021,Karmel,710
לבון,1207,LAVON,2,הצפון,24,עכו,243,56,מועצה אזורית משגב,,1,727,726,710,1,1980,350,,2271676084,566,205,15002358,2021,Lavon,210
לביא,585,LAVI,2,הצפון,22,כנרת,222,3,מועצה אזורית הגליל התחתון,,1,616,616,615,0,1949,330,3,2417174366,299,206,10004552,2021,Lavi,214
לבנים,1230,LIVNIM,2,הצפון,21,צפת,214,2,מועצה אזורית מרום הגליל,,1,473,472,450,1,1982,310,1,2466175214,-54,209,10004552,2021,Livnim,211
להב,2023,LAHAV,6,הדרום,62,באר שבע,623,41,מועצה אזורית בני שמעון,341,1,656,655,646,1,1952,330,15,1875158754,455,625,10001937,2021,Lahav,620
להבות הבשן,380,LAHAVOT HABASHAN,2,הצפון,21,צפת,211,1,מועצה אזורית הגליל העליון,,1,922,919,859,3,1945,330,15,2607878299,88,253,10004591,2021,Lahavot HaBashan,211
להבות חביבה,715,LAHAVOT HAVIVA,3,חיפה,32,חדרה,324,14,מועצה אזורית מנשה,,1,1062,1062,1050,0,1949,330,15,2010970013,43,351,15002436,2021,Lahavot Haviva,
להבים,1271,LEHAVIM,6,הדרום,62,באר שבע,623,99,מועצה מקומית,341,1,6977,6721,6571,256,1985,180,,1822358650,296,619,10001946,2021,Lehavim,
לוד,7000,LOD,4,המרכז,43,רמלה,432,0,עירייה,133,4,82629,57988,51671,24641,1948,150,,1895465097,57,406,10002261,2021,Lod,
לוזית,52,LUZIT,1,ירושלים,11,ירושלים,112,26,מועצה אזורית מטה יהודה,,1,862,860,845,2,1955,310,1,1893162164,190,151,15000597,2021,Luzit,
לוחמי הגיטאות,595,LOHAME HAGETA'OT,2,הצפון,24,עכו,245,4,מועצה אזורית מטה אשר,241,1,816,816,795,0,1949,330,15,2095076319,17,201,10004302,2021,Lohame HaGeta'ot,212
לוטם,1171,LOTEM,2,הצפון,24,עכו,242,56,מועצה אזורית משגב,,1,783,726,716,57,1978,330,15,2337775423,315,205,10004513,2021,Lotem,210
לוטן,1255,LOTAN,6,הדרום,62,באר שבע,625,53,מועצה אזורית חבל אילות,,1,202,202,181,0,1983,330,15,2081343322,123,608,10001955,2021,Lotan,610
לימן,674,LIMAN,2,הצפון,24,עכו,245,4,מועצה אזורית מטה אשר,241,1,674,673,648,1,1949,310,1,2108977386,15,201,10004302,2021,Liman,212
לכיש,24,LAKHISH,6,הדרום,61,אשקלון,612,50,מועצה אזורית לכיש,,1,800,800,787,0,1955,310,1,1850560772,247,634,10001813,2021,Lakhish,
לפיד,1310,LAPPID,4,המרכז,43,רמלה,431,25,מועצה אזורית חבל מודיעין,142,1,2322,2322,2306,0,1996,190,,2032064717,268,424,10002277,2021,Lappid,
לפידות,1173,LAPPIDOT,2,הצפון,24,עכו,243,52,מועצה אזורית מעלה יוסף,,1,129,129,122,0,1978,310,1,2248276265,470,255,10004484,2021,Lappidot,212
לקיה,1060,LAQYE,6,הדרום,62,באר שבע,623,99,מועצה מקומית,341,2,15294,15,0,15279,,270,,1873558142,391,652,10001937,2021,Laqye,620
מאור,2055,MA'OR,3,חיפה,32,חדרה,324,14,מועצה אזורית מנשה,,1,1442,1442,1411,0,1953,310,1,2007970341,32,351,15002436,2021,Ma'or,
מאיר שפיה,102,ME'IR SHEFEYA,3,חיפה,32,חדרה,322,15,מועצה אזורית חוף הכרמל,,1,352,317,193,35,1923,340,,1975672190,107,303,10004333,2021,Me'ir Shefeya,
מבוא ביתר,771,MEVO BETAR,1,ירושלים,11,ירושלים,111,26,מועצה אזורית מטה יהודה,444,1,1013,1013,998,0,1950,320,9,2101662554,752,151,15000597,2021,Mevo Betar,
מבוא דותן,3569,MEVO DOTAN,7,אזור יהודה ושומרון,71,ג'נין,,72,מועצה אזורית שומרון,,1,509,509,505,0,1978,370,11,2166670298,314,710,15004488,2021,Mevo Dotan,710
מבוא חורון,3709,MEVO HORON,7,אזור יהודה ושומרון,74,ראמאללה,,73,מועצה אזורית מטה בנימין,,1,2694,2694,2694,0,1970,192,8,2034363961,243,711,10004054,2021,Mevo Horon,710
מבוא חמה,4204,MEVO HAMMA,2,הצפון,29,גולן,294,71,מועצה אזורית גולן,,1,459,459,449,0,1968,330,15,2617273821,348,219,10004579,2021,Mevo Hamma,211
מבוא מודיעים,1141,MEVO MODI'IM,4,המרכז,43,רמלה,431,25,מועצה אזורית חבל מודיעין,142,1,247,247,246,0,1964,370,8,1989264896,208,424,10002277,2021,Mevo Modi'im,
מבואות ים,1318,MEVO'OT YAM,4,המרכז,41,השרון,411,16,מועצה אזורית עמק חפר,141,1,365,364,338,1,1954,340,,1878270108,3,409,15000060,2021,Mevo'ot Yam,
מבואות יריחו,3825,MEVO'OT YERIHO,7,אזור יהודה ושומרון,75,ירדן-יריחו,,75,מועצה אזורית ערבות הירדן,,1,228,228,228,0,2019,370,,2396664589,-103,712,10003299,2021,Mevo'ot Yeriho,
מבועים,1080,MABBU'IM,6,הדרום,62,באר שבע,621,42,מועצה אזורית מרחבים,,1,1250,1249,1228,1,1958,350,,1671959544,169,651,10001930,2021,Mabbu'im,620
מבטחים,829,MIVTAHIM,6,הדרום,62,באר שבע,622,38,מועצה אזורית אשכול,,1,463,463,457,0,1950,310,1,1435757236,129,651,10001893,2021,Mivtahim,620
מבקיעים,573,MAVQI'IM,6,הדרום,61,אשקלון,614,36,מועצה אזורית חוף אשקלון,,1,508,508,498,0,1949,310,6,1599161459,57,633,10001829,2021,Mavqi'im,620
מבשרת ציון,1015,MEVASSERET ZIYYON,1,ירושלים,11,ירושלים,111,99,מועצה מקומית,444,1,24943,24848,24030,95,1951,160,,2144163412,719,152,10002475,2021,Mevasseret Ziyyon,
מג'ד אל כרום,516,MAJD AL-KURUM,2,הצפון,24,עכו,242,99,מועצה מקומית,,2,15630,16,8,15614,,270,,2241475846,242,260,15002358,2021,Majd al-Kurum,210
מג'דל שמס,4201,MAJDAL SHAMS,2,הצפון,29,גולן,291,99,מועצה מקומית,,2,11404,1,0,11403,,270,,2721779659,1229,256,10004579,2021,Majdal Shams,211
מגאר,481,MUGHAR,2,הצפון,22,כנרת,222,0,עירייה,,2,23625,20,10,23605,,260,,2388975470,147,251,10004552,2021,Mughar,214
מגדים,689,MEGADIM,3,חיפה,32,חדרה,321,15,מועצה אזורית חוף הכרמל,223,1,1388,1388,1365,0,1949,310,1,1964573727,15,303,10004710,2021,Megadim,
מגדל,65,MIGDAL,2,הצפון,22,כנרת,221,99,מועצה מקומית,,1,1988,1937,1885,51,1910,350,,2474474935,-86,251,10004552,2021,Migdal,214
מגדל העמק,874,MIGDAL HAEMEQ,2,הצפון,23,יזרעאל,237,0,עירייה,,1,26029,26017,23100,12,1952,160,,2231073152,205,221,10004411,2021,Migdal HaEmeq,213
מגדל עוז,3561,MIGDAL OZ,7,אזור יהודה ושומרון,76,בית לחם,,76,מועצה אזורית גוש עציון,445,1,566,566,565,0,1977,330,3,2135961641,939,714,15000586,2021,Migdal Oz,
מגדל תפן,1722,,2,הצפון,24,עכו,243,99,מועצה מקומית,,,,,,,,520,,2261576449,646,255,10004484,2021,,212
מגדלים,3751,MIGDALIM,7,אזור יהודה ושומרון,72,שכם,,72,מועצה אזורית שומרון,,1,543,543,530,0,1983,370,11,2324866637,775,710,15004488,2021,Migdalim,710
מגידו,586,MEGIDDO,2,הצפון,23,יזרעאל,234,13,מועצה אזורית מגידו,,1,858,858,843,0,1949,330,15,2171372068,153,254,10004411,2021,Megiddo,213
מגל,375,MAGGAL,3,חיפה,32,חדרה,324,14,מועצה אזורית מנשה,,1,1177,1177,1165,0,1953,330,15,2033569910,70,351,15002436,2021,Maggal,
מגן,695,MAGEN,6,הדרום,62,באר שבע,622,38,מועצה אזורית אשכול,,1,537,529,485,8,1949,330,15,1454357893,119,651,10001893,2021,Magen,620
מגן שאול,1155,MAGEN SHA'UL,2,הצפון,23,יזרעאל,234,8,מועצה אזורית הגלבוע,,1,734,734,589,0,1976,310,1,2291471412,83,204,10004394,2021,Magen Sha'ul,213
מגשימים,722,MAGSHIMIM,4,המרכז,42,פתח תקווה,422,20,מועצה אזורית דרום השרון,132,1,1090,1089,1085,1,1949,310,10,1906066152,52,417,10002116,2021,Magshimim,410
מדרך עוז,2029,MIDRAKH OZ,2,הצפון,23,יזרעאל,234,13,מועצה אזורית מגידו,,1,828,828,751,0,1952,310,1,2151572230,128,254,10004411,2021,Midrakh Oz,213
מדרשת בן גוריון,1140,MIDRESHET BEN GURION,6,הדרום,62,באר שבע,626,48,מועצה אזורית רמת נגב,,1,1956,1953,1855,3,1965,350,,1790952918,472,620,10001918,2021,Midreshet Ben Gurion,610
מדרשת רופין,897,MIDRESHET RUPPIN,4,המרכז,41,השרון,411,16,מועצה אזורית עמק חפר,141,1,228,119,115,109,1948,340,,1919269429,25,409,15000060,2021,Midreshet Ruppin,
מודיעין-מכבים-רעות*,1200,MODI'IN-MAKKABBIM-RE'UT,4,המרכז,43,רמלה,431,0,עירייה,142,1,97097,97059,94927,38,1986,150,,2011364478,209,420,10002277,2021,Modi'in-Makkabbim-Re'ut,
מודיעין עילית,3797,MODI'IN ILLIT,7,אזור יהודה ושומרון,74,ראמאללה,,0,עירייה,,1,80997,80997,80983,0,1996,150,,2042764878,293,730,10004054,2021,Modi'in Illit,710
מולדת,269,MOLEDET,2,הצפון,23,יזרעאל,233,8,מועצה אזורית הגלבוע,,1,1096,1096,1087,0,1937,320,1,2416172136,62,204,10004394,2021,Moledet,213
מוצא עילית,208,MOZA ILLIT,1,ירושלים,11,ירושלים,111,26,מועצה אזורית מטה יהודה,444,1,1524,1514,1474,10,1933,350,,2150263345,641,151,10002475,2021,Moza Illit,
מוקייבלה,635,MUQEIBLE,2,הצפון,23,יזרעאל,234,8,מועצה אזורית הגלבוע,,2,4261,4,4,4257,,290,,2281371331,87,204,10004394,2021,Muqeible,213
מורן,1163,MORAN,2,הצפון,24,עכו,242,56,מועצה אזורית משגב,,1,497,493,481,4,1977,330,15,2371675853,326,205,10004465,2021,Moran,210
מורשת,1178,MORESHET,2,הצפון,24,עכו,241,56,מועצה אזורית משגב,241,1,1592,1592,1592,0,1981,370,11,2221174791,308,205,10004513,2021,Moreshet,210
מזור,606,MAZOR,4,המרכז,42,פתח תקווה,422,25,מועצה אזורית חבל מודיעין,142,1,1329,1329,1321,0,1949,310,1,1931066207,54,424,10002116,2021,Mazor,
מזכרת בתיה,28,MAZKERET BATYA,4,המרכז,44,רחובות,441,99,מועצה מקומית,143,1,15424,15416,15196,8,1883,170,,1852963987,62,453,10002241,2021,Mazkeret Batya,420
"מזרח השרון מ""א 16",1879,,4,המרכז,41,השרון,412,16,מועצה אזורית עמק חפר,,,,,,,,530,,2001069530,,,,2021,,
"מזרח השרון מ""א 18",1880,,4,המרכז,41,השרון,412,18,מועצה אזורית לב השרון,,,,,,,,530,,2002068950,,,,2021,,
מזרע,104,MIZRA,2,הצפון,23,יזרעאל,234,9,מועצה אזורית עמק יזרעאל,,1,792,792,768,0,1923,330,15,2271472850,98,254,10004394,2021,Mizra,213
מזרעה,517,MAZRA'A,2,הצפון,24,עכו,245,99,מועצה מקומית,241,2,4078,13,8,4065,,290,,2095476542,14,201,10004302,2021,Mazra'a,212
מחולה,3599,MEHOLA,7,אזור יהודה ושומרון,75,ירדן-יריחו,,75,מועצה אזורית ערבות הירדן,,1,649,649,648,0,1968,310,2,2486669692,-176,712,10003299,2021,Mehola,710
מחנה הילה*,1411,MAHANE HILLA,4,המרכז,44,רחובות,442,27,מועצה אזורית גן רווה,143,,,,,,,510,,1710064600,,499,15002488,2021,Mahane Hilla,
מחנה טלי*,1418,MAHANE TALI,6,הדרום,62,באר שבע,626,48,מועצה אזורית רמת נגב,,,,,,,,510,,1680051800,,699,10001918,2021,Mahane Tali,610
מחנה יהודית*,1413,MAHANE YEHUDIT,2,הצפון,23,יזרעאל,234,9,מועצה אזורית עמק יזרעאל,,,,,,,,510,,2170073000,,299,10004411,2021,Mahane Yehudit,213
מחנה יוכבד*,1416,MAHANE YOKHEVED,6,הדרום,62,באר שבע,627,53,מועצה אזורית חבל אילות,,,,,,,,510,,1930042700,,699,10001955,2021,Mahane Yokheved,
מחנה יפה*,1415,MAHANE YAFA,6,הדרום,62,באר שבע,622,42,מועצה אזורית מרחבים,,,,,,,,510,,1690057000,,699,10001900,2021,Mahane Yafa,620
מחנה יתיר,1196,MAHANE YATTIR,6,הדרום,62,באר שבע,623,,חסר מעמד מוניציפלי,,1,304,283,283,21,1979,350,,2057258396,652,699,10001937,2021,Mahane Yattir,
מחנה מרים*,1414,MAHANE MIRYAM,6,הדרום,61,אשקלון,611,33,מועצה אזורית באר טוביה,,,,,,,,510,,1740062900,,699,10001821,2021,Mahane Miryam,420
מחנה תל נוף*,1412,MAHANE TEL NOF,4,המרכז,44,רחובות,441,28,מועצה אזורית ברנר,143,,,,,,,510,,1830063800,,499,15002488,2021,Mahane Tel Nof,420
מחניים,308,MAHANAYIM,2,הצפון,21,צפת,213,1,מועצה אזורית הגליל העליון,,1,815,814,798,1,1939,330,15,2536376606,263,253,10004540,2021,Mahanayim,211
מחסיה,776,MAHSEYA,1,ירושלים,11,ירושלים,112,26,מועצה אזורית מטה יהודה,444,1,493,493,492,0,1950,310,2,2007762837,251,151,15000597,2021,Mahseya,
מטולה,43,METULA,2,הצפון,21,צפת,211,99,מועצה מקומית,,1,1692,1630,1544,62,1896,350,,2541779817,444,259,10004591,2021,Metula,211
מטע,822,MATTA,1,ירושלים,11,ירושלים,111,26,מועצה אזורית מטה יהודה,444,1,961,959,936,2,1950,310,1,2059662505,603,151,15000597,2021,Matta,
מי עמי,1128,ME AMMI,3,חיפה,32,חדרה,323,14,מועצה אזורית מנשה,,1,363,363,357,0,1963,320,6,2141671229,462,351,10004249,2021,Me Ammi,
